county,case_number,case_id,case_created_at,case_status,case_decision_date,case_title,municipality,handling_number,handling_id,handling_date,handling_title,sender_recipient,case_kind,direct_supervision,target_organisation_name,target_identifiable,trigger_family,problem_domain,mandatory_action_likelihood,external_purchase_likelihood,metadata_specificity,timing_quality,commercial_relevance,likely_supplier_categories,document_required_for_understanding,supplier_already_engaged,manual_notes
Västra Götaland,31773-2026,5573840,2026-08-04,Handläggning,,Meddelande om avvikelse vid veckoprovtagning,Handlingar,31773-2026-1,,2026-08-05,Anmälan om provatagningsavvikelse,Öckerö kommun,CONTAMINATED_SITE_SUPERVISION,YES,Öckerö kommun,PUBLIC_BODY,INCIDENT_REPORT,MONITORING_CONTROL,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,32410-2026,5578165,2026-08-11,Handläggning,,"Klagomål på ljudnivå och utsläpp från Almedahl-Kinna AB, Marks kommun",Mark,32410-2026-1,,2026-08-11,"Klagomål på ljudnivå och utsläpp från Almedahl-Kinna AB, Marks kommun",Personuppgift,COMPLAINT,PARTIAL,Almedahl-Kinna AB,COMPANY,COMPLAINT_RECEIVED,NOISE,LOW,MEDIUM,SPECIFIC,EARLY,MEDIUM,acoustic consultants; noise abatement suppliers,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Complaint entry; only becomes a purchase if Länsstyrelsen demands measurements or measures.
Västra Götaland,32543-2026,5579229,2026-07-09,Handläggning,,"Anmälan om avhjälpandeåtgärder, Pilotförsök precisionsapplicering av TST på lösa sediment i Viskan, Borås kommun",Borås,32543-2026-1,,2026-08-12,"Anmälan om avhjälpandeåtgärder, Pilotförsök precisionsapplicering av TST på lösa sediment i Viskan, Borås kommun",Borås Stad,CONTAMINATED_SITE_SUPERVISION,YES,Borås Stad,PUBLIC_BODY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Västra Götaland,32543-2026,5579229,2026-07-09,Handläggning,,"Anmälan om avhjälpandeåtgärder, Pilotförsök precisionsapplicering av TST på lösa sediment i Viskan, Borås kommun",Borås,32543-2026-8,,2026-09-18,"Föreläggande om försiktighetsmått vid avhjälpandeåtgärder av förorenade sediment, pilotprojekt med tunnskicktsövertäckning i del av Guttasjön, Viskan, Borås kommun",Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Borås Stad,PUBLIC_BODY,ENFORCEMENT_ORDER,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Reviewed. Precaution order on a pilot remediation already designed by Borås Stad; LATE.
Västra Götaland,33157-2026,5583362,2026-08-18,Avslutat,2026-08-28,"Periodisk kontroll av mark och grundvatten, rapport om miljöteknisk markundersökning, Riskullaverket, Mölndals kommun",Mölndal,33157-2026-2,,2026-08-28,"Utlåtande över periodisk kontroll av mark och grundvatten, enligt IED",Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Mölndal Energi AB,COMPANY,INSPECTION_REPORT,CONTAMINATED_LAND,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Västra Götaland,33504-2026,5585547,2026-08-20,Handläggning,,"Anmälan om avhjälpandeåtgärder, markarbete i förorenad mark, Tjörns kommun",Tjörn,33504-2026-1,,2026-08-20,"Anmälan om avhjälpandeåtgärder, markarbete i förorenad mark, Tjörns kommun",Wallhamn AB,CONTAMINATED_SITE_SUPERVISION,YES,Wallhamn AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Västra Götaland,33730-2026,5587508,2026-08-24,Handläggning,,"Anmälan om driftstörning, bensinläckage vid Preem AB Preemraff Göteborg 2026-08-23",Göteborg,33730-2026-1,,2026-08-24,"Anmälan om driftstörning, bensinläckage vid Preem AB Preemraff Göteborg 2026-08-23",VAROPreem Sverige AB,ENVIRONMENTAL_INCIDENT,PARTIAL,VAROPreem Sverige AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Petrol leak to ground at Preemraff; remediation/investigation need is concrete; refinery has framework suppliers.
Västra Götaland,33730-2026,5587508,2026-08-24,Handläggning,,"Anmälan om driftstörning, bensinläckage vid Preem AB Preemraff Göteborg 2026-08-23",Göteborg,33730-2026-2,,2026-08-31,Meddelande om försiktighetsåtgärder gällande bensinläckage till mark,VAROPreem Sverige AB,ENVIRONMENTAL_INCIDENT,PARTIAL,VAROPreem Sverige AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,34553-2026,5593259,2026-08-31,Handläggning,,"Anmälan om driftstörning, vätgasläckage, 2026-08-29, Göteborgs kommun",Göteborg,34553-2026-1,,2026-08-31,"Anmälan om driftstörning, vätgasläckage, 2026-08-29, Göteborgs kommun",VAROPreem Sverige AB,ENVIRONMENTAL_INCIDENT,PARTIAL,VAROPreem Sverige AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,34803-2026,5594842,2026-09-01,Avslutat,2026-09-01,Planerad Sevesotillsyn Nynas Raffinaderi 2026,Göteborg,34803-2026-1,,2026-09-01,Planerad Sevesotillsyn Nynas Raffinaderi 2026,Nynas Raffinaderi,DIRECT_SUPERVISION,YES,Nynas Raffinaderi,ORG_NAMED,SUPERVISION_VISIT_SCHEDULED,CHEMICALS_SEVESO,LOW,MEDIUM,GENERIC,EARLY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
Västra Götaland,35133-2026,5597227,2026-09-02,Avslutat,2026-09-04,"Anmälan om driftstörning, dieselläckage, VOLVO Personvagnar AB",Göteborg,35133-2026-1,,2026-09-02,"Anmälan om driftstörning, dieselläckage, VOLVO Personvagnar AB",Volvo Personvagnar AB,ENVIRONMENTAL_INCIDENT,PARTIAL,Volvo Personvagnar AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,35133-2026,5597227,2026-09-02,Avslutat,2026-09-04,"Anmälan om driftstörning, dieselläckage, VOLVO Personvagnar AB",Göteborg,35133-2026-3,,2026-09-22,Meddelande om orsak till läckaget,Volvo Personvagnar AB,ENVIRONMENTAL_INCIDENT,PARTIAL,Volvo Personvagnar AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,35301-2026,5598513,2026-09-03,Avslutat,2026-09-09,"Anmälan om driftstörning, hydrauloljespill från fartyget Supplier, GHAB, Energihamnarna Skarvik, 2026-08-29",Göteborg,35301-2026-1,,2026-09-03,"Anmälan om driftstörning, hydrauloljespill från fartyget Supplier, GHAB, Energihamnarna Skarvik, 2026-08-29",Göteborgs Hamn AB,ENVIRONMENTAL_INCIDENT,PARTIAL,Göteborgs Hamn AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,35301-2026,5598513,2026-09-03,Avslutat,2026-09-09,"Anmälan om driftstörning, hydrauloljespill från fartyget Supplier, GHAB, Energihamnarna Skarvik, 2026-08-29",Göteborg,35301-2026-2,,2026-09-03,Återkoppling på anmälan om driftstörning hydrauloljeläckage från fartyg,Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Göteborgs Hamn AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,35301-2026,5598513,2026-09-03,Avslutat,2026-09-09,"Anmälan om driftstörning, hydrauloljespill från fartyget Supplier, GHAB, Energihamnarna Skarvik, 2026-08-29",Göteborg,35301-2026-4,,2026-09-09,Återkoppling på kompletterande uppgifter om hydrauloljespill från fartyget Supplier,Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Göteborgs Hamn AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,35911-2026,5602447,2026-09-07,Handläggning,,Ansökan om bidrag till undersökningar på,Trollhättan,35911-2026-1,,2026-09-07,Ansökan om bidrag till undersökningar på förorenade objekt i Trollhättans kommun,Trollhättans stad,CONTAMINATED_SITE_SUPERVISION,YES,Trollhättans stad,PUBLIC_BODY,GRANT_APPLICATION,CONTAMINATED_LAND,LOW,MEDIUM,SPECIFIC,EARLY,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Municipal grant application for contaminated-land work.
Västra Götaland,35916-2026,5602461,2026-09-07,Handläggning,,Ansökan om bidrag till undersökningar på förorenade objekt i Trollhättans kommun,Trollhättan,35916-2026-1,,2026-09-07,Ansökan om bidrag till undersökningar på förorenade objekt i Trollhättans kommun,Trollhättans stad,CONTAMINATED_SITE_SUPERVISION,YES,Trollhättans stad,PUBLIC_BODY,GRANT_APPLICATION,CONTAMINATED_LAND,LOW,MEDIUM,SPECIFIC,EARLY,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Municipal grant application for contaminated-land work.
Västra Götaland,36703-2026,5607193,2026-09-10,Handläggning,,Anmälan om avhjälpandeåtgärder avseende sanering av förorenad mark inom invallning T-208,Göteborg,36703-2026-1,,2026-09-10,Anmälan om avhjälpandeåtgärder avseende sanering av förorenad mark inom invallning T-208,St1 Refinery AB,CONTAMINATED_SITE_SUPERVISION,YES,St1 Refinery AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Västra Götaland,36872-2026,5608136,2026-09-10,Handläggning,,"Anmälan om grävning för att åtgärda transportyta, GKN Aerospace Sweden AB, Trollhättans kommun",Trollhättan,36872-2026-1,,2026-09-10,"Anmälan om grävning för att åtgärda transportyta, GKN Aerospace Sweden AB, Trollhättans kommun",GKN Aerospace Sweden AB,DIRECT_SUPERVISION,YES,GKN Aerospace Sweden AB,COMPANY,REMEDIATION_NOTIFIED,UNKNOWN,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,-,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Västra Götaland,37320-2026,5611186,2026-09-14,Handläggning,,"Anmälan om driftstörning, läckage, 2026-09-14, Göteborgs kommun",Göteborg,37320-2026-1,,2026-09-14,"Anmälan om driftstörning, läckage, 2026-09-14, Göteborgs kommun",Gryaab AB,ENVIRONMENTAL_INCIDENT,PARTIAL,Gryaab AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,37365-2026,5611463,2026-09-14,Handläggning,,"Ansökan om bidrag till efterbehandling av föroreningsskador, Älmestads sågverk, Ulricehamns kommun",Ulricehamn,37365-2026-1,,2026-09-14,"Ansökan om bidrag till efterbehandling av föroreningsskador, Älmestads sågverk, Ulricehamns kommun",Ulricehamns kommun,CONTAMINATED_SITE_SUPERVISION,YES,Ulricehamns kommun,PUBLIC_BODY,GRANT_APPLICATION,CONTAMINATED_LAND,LOW,MEDIUM,SPECIFIC,EARLY,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Ulricehamns kommun applies for remediation funding; large future procurement if granted.
Västra Götaland,38376-2026,5617695,2026-09-18,Handläggning,,"Information om missad provtagning avseende totalt suspenderat material, Lillesjö Avfallskraftvärmeverk, Uddevalla kommun",Uddevalla,38376-2026-1,,2026-09-18,"Information om missad provtagning avseende totalt suspenderat material, Lillesjö Avfallskraftvärmeverk, Uddevalla kommun",Uddevalla Kraft AB,CONTAMINATED_SITE_SUPERVISION,YES,Uddevalla Kraft AB,COMPANY,INCIDENT_REPORT,WASTE,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,waste management consultants; waste handling equipment; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Västra Götaland,39000-2026,5621717,2026-09-22,Handläggning,,"Anmälan om avhjälpandeåtgärder, markarbete i samband med rivning av kaj, Göteborgs kommun",Göteborg,39000-2026-1,,2026-09-22,"Anmälan om avhjälpandeåtgärder, markarbete i samband med rivning av kaj, Göteborgs kommun",Göteborgs Hamn AB,CONTAMINATED_SITE_SUPERVISION,YES,Göteborgs Hamn AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Västra Götaland,39006-2026,5621742,2026-09-22,Handläggning,,"Anmälan om PCB-sanering Gryaab AB Ryaverket, Göteborgs kommun",Göteborg,39006-2026-1,,2026-09-22,"Anmälan om PCB-sanering Gryaab AB Ryaverket, Göteborgs kommun",Gryaab AB,CONTAMINATED_SITE_SUPERVISION,YES,Gryaab AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Östergötland,12408-2026,5562807,2026-07-14,Avslutat,2026-09-21,"Anmälan om driftstörning vid Lantmännen Biorefineries AB, Utsläpp av biogas via säkerhetsventil, Norrköping kommun",Norrköping,12408-2026-1,,2026-07-14,"Anmälan om driftstörning vid Lantmännen Biorefineries AB, Utsläpp av biogas via säkerhetsventil, Norrköping kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Lantmännen Biorefineries AB,COMPANY,INCIDENT_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Östergötland,12408-2026,5562807,2026-07-14,Avslutat,2026-09-21,"Anmälan om driftstörning vid Lantmännen Biorefineries AB, Utsläpp av biogas via säkerhetsventil, Norrköping kommun",Norrköping,12408-2026-3,,2026-09-09,Tjänsteanteckning vid besiktning/tillsyn,Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Lantmännen Biorefineries AB,COMPANY,INSPECTION_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Östergötland,13246-2026,5576737,2026-08-10,Handläggning,,"Planerad tillsyn enligt Sevesolagstiftningen, Swed Handling AB",Norrköping,13246-2026-2,,2026-08-13,"Meddelande om dagordning inför Sevesotillsyn, Swed Handling AB",Personuppgift,DIRECT_SUPERVISION,YES,Swed Handling AB,COMPANY,SUPERVISION_VISIT_SCHEDULED,CHEMICALS_SEVESO,LOW,MEDIUM,GENERIC,EARLY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
Östergötland,13246-2026,5576737,2026-08-10,Handläggning,,"Planerad tillsyn enligt Sevesolagstiftningen, Swed Handling AB",Norrköping,13246-2026-3,,2026-08-19,Tjänsteanteckning vid besiktning/tillsyn,Personuppgift,DIRECT_SUPERVISION,YES,Swed Handling AB,COMPANY,INSPECTION_REPORT,CHEMICALS_SEVESO,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Östergötland,13246-2026,5576737,2026-08-10,Handläggning,,"Planerad tillsyn enligt Sevesolagstiftningen, Swed Handling AB",Norrköping,13246-2026-4,,2026-08-26,Tillsynsrapport efter tillsynsbesök,Personuppgift,DIRECT_SUPERVISION,YES,Swed Handling AB,COMPANY,INSPECTION_REPORT,CHEMICALS_SEVESO,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Östergötland,13249-2026,5576760,2026-08-10,Handläggning,,"Planerad tillsyn enligt miljöbalken, Stena Recycling AB",Mjölby,13249-2026-3,,2026-08-26,Tjänsteanteckning vid besiktning/tillsyn,Personuppgift,DIRECT_SUPERVISION,YES,Stena Recycling AB,COMPANY,INSPECTION_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Östergötland,13249-2026,5576760,2026-08-10,Handläggning,,"Planerad tillsyn enligt miljöbalken, Stena Recycling AB",Mjölby,13249-2026-4,,2026-08-28,Tillsynsrapport efter tillsynsbesök,Personuppgift,DIRECT_SUPERVISION,YES,Stena Recycling AB,COMPANY,INSPECTION_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Östergötland,13485-2026,5580747,2026-08-14,Handläggning,,"Förslag till kontrollprogram, Saab AB",Linköping,13485-2026-1,,2026-08-14,Begäran om att lämna in förslag till kontrollprogram,Personuppgift,DIRECT_SUPERVISION,YES,Saab AB,COMPANY,CONTROL_PROGRAMME,MONITORING_CONTROL,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Saab AB asked to submit a control programme proposal; proposal arrived the same day (already prepared).
Östergötland,13794-2026,5585709,2026-08-21,Avslutat,2026-09-23,Beslut om miljösanktionsavgift,Handlingar,13794-2026-1,,2026-08-21,Beslut om miljösanktionsavgift,Ovako Bar AB,DIRECT_SUPERVISION,YES,Ovako Bar AB,COMPANY,SANCTION_FEE,UNKNOWN,HIGH,LOW,GENERIC,TIMELY,MEDIUM,-,DOCUMENT_REQUIRED,NO,"Reviewed. Sanction fee against Ovako Bar AB, violation unknown from metadata; document required."
Östergötland,13794-2026,5585709,2026-08-21,Avslutat,2026-09-23,Beslut om miljösanktionsavgift,Handlingar,13794-2026-2,,2026-09-22,Beslut om miljösanktionsavgift,Ovako Bar AB,DIRECT_SUPERVISION,YES,Ovako Bar AB,COMPANY,SANCTION_FEE,UNKNOWN,HIGH,LOW,GENERIC,TIMELY,MEDIUM,-,DOCUMENT_REQUIRED,NO,"Rule-based classification, not individually reviewed."
Östergötland,14039-2026,5589624,2026-08-26,Avslutat,2026-09-14,"Planerat tillsynsbesök enligt Sevesolagstiftningen, Yara AB",Norrköping,14039-2026-2,,2026-08-28,Meddelande om dagordning inför Sevesotillsyn vid Yara AB,Personuppgift,DIRECT_SUPERVISION,YES,Yara AB,COMPANY,SUPERVISION_VISIT_SCHEDULED,CHEMICALS_SEVESO,LOW,MEDIUM,GENERIC,EARLY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
Östergötland,14039-2026,5589624,2026-08-26,Avslutat,2026-09-14,"Planerat tillsynsbesök enligt Sevesolagstiftningen, Yara AB",Norrköping,14039-2026-5,,2026-09-14,Tillsynsrapport efter tillsynsbesök,Personuppgift,DIRECT_SUPERVISION,YES,Yara AB,COMPANY,INSPECTION_REPORT,CHEMICALS_SEVESO,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Östergötland,14115-2026,5590954,2026-08-27,Avslutat,2026-09-21,"Planerad tillsyn enligt Sevesolagstiftningen, VAROPreem Sverige AB",Norrköping,14115-2026-2,,2026-08-27,Meddelande om dagordning inför Sevesotillsyn,Personuppgift,DIRECT_SUPERVISION,YES,VAROPreem Sverige AB,COMPANY,SUPERVISION_VISIT_SCHEDULED,CHEMICALS_SEVESO,LOW,MEDIUM,GENERIC,EARLY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
Östergötland,14115-2026,5590954,2026-08-27,Avslutat,2026-09-21,"Planerad tillsyn enligt Sevesolagstiftningen, VAROPreem Sverige AB",Norrköping,14115-2026-3,,2026-09-21,Tillsynsrapport efter tillsynsbesök,Personuppgift,DIRECT_SUPERVISION,YES,VAROPreem Sverige AB,COMPANY,INSPECTION_REPORT,CHEMICALS_SEVESO,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Östergötland,14160-2026,5591835,2026-08-28,Handläggning,,"Anmälan om avhjälpandeåtgärder vid K-förråd, Fiskeby Board AB",Norrköping,14160-2026-1,,2026-08-28,"Anmälan om avhjälpandeåtgärder vid K-förråd, Fiskeby Board AB",Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Fiskeby Board AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Östergötland,14160-2026,5591835,2026-08-28,Handläggning,,"Anmälan om avhjälpandeåtgärder vid K-förråd, Fiskeby Board AB",Norrköping,14160-2026-2,,2026-09-01,Underrättelse om anmälan av avhjälpandeåtgärd,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Fiskeby Board AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Östergötland,14160-2026,5591835,2026-08-28,Handläggning,,"Anmälan om avhjälpandeåtgärder vid K-förråd, Fiskeby Board AB",Norrköping,14160-2026-4,,2026-09-08,Beslut om föreläggande med försiktighetsmått,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Fiskeby Board AB,COMPANY,ENFORCEMENT_ORDER,CONTAMINATED_LAND,HIGH,MEDIUM,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Order with precautions is the decision on a 28 § remediation notification; contractor and consultant already engaged (timing LATE).
Östergötland,14329-2026,5593824,2026-08-28,Handläggning,,"Planerad tillsyn enligt miljöbalken, Vindkraft i Grevekulla AB",Ydre,14329-2026-3,,2026-09-22,Tillsynsrapport efter tillsynsbesök,Personuppgift,DIRECT_SUPERVISION,YES,Grevekulla AB,COMPANY,INSPECTION_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Östergötland,14638-2026,5598785,2026-09-04,Handläggning,,"Planerat tillsynsbesök enligt Sevesolagstiftningen, Lantmännen Biorefineries AB",Norrköping,14638-2026-2,,2026-09-04,Meddelande om dagordning inför Sevesotillsyn,Personuppgift,DIRECT_SUPERVISION,YES,Lantmännen Biorefineries AB,COMPANY,SUPERVISION_VISIT_SCHEDULED,CHEMICALS_SEVESO,LOW,MEDIUM,GENERIC,EARLY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
