source_process,document_type,case_number,case_title,case_status,document_number,document_date,organisation_name,organisation_number,workplace_name,workplace_cfar,county,municipality,deficiency_family,specificity,deficiency_detail,required_action,purchase_type,supplier_category,incumbent_risk,purchase_value,timing,metadata_sufficiency,earliest_public_title,earliest_public_date,days_before_sanction,inspection_message_before,chronology_sampled
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/003607,Sanktionsavgift - trycksatt anordning,Avslutat,2026/003607-1,2026-03-10,,,Saknas,66830985,STOCKHOLMS LÄN,Huddinge,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/006266,Sanktionsavgift - fallrisk,Avslutat,2026/006266-1,2026-03-10,GÖTALANDS TAKTEKNIK AB,5595004200,GÖTALANDS TAKTEKNIK AB,72055585,VÄSTRA GÖTALANDS LÄN,Göteborg,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/009274,"Sanktionsavgift - Lyftanordning, ej genomgått besiktning med godkänt resultat 13 kap. 4 § AFS 2023:11",Pågående,2026/009274-1,2026-03-10,BYGG & MARKSERVICE I SVERIGE AB,5569075244,BYGG & MARKSERVICE I SVERIGE AB,52733714,STOCKHOLMS LÄN,Stockholm,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/013856,Sanktionsavgift - avsaknad av arbetsmiljöplan,Avslutat,2026/013856-1,2026-03-10,2 SNICKARE SVERIGE AB,5569554636,2 SNICKARE SVERIGE AB,55320022,UPPSALA LÄN,Uppsala,WORK_ENVIRONMENT_PLAN,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,Draw up / make available an arbetsmiljöplan,ADMIN,"BAS-P/BAS-U consultants, construction H&S services",LOW,LOW,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014330,Sanktionsavgift - arbetsmiljöplan ej tillgänglig,Pågående,2026/014330-1,2026-03-10,SÖDER RENOVERING AB,5594211640,SÖDER RENOVERING AB,69957728,STOCKHOLMS LÄN,Botkyrka,WORK_ENVIRONMENT_PLAN,SPECIFIC_BUT_AMBIGUOUS,,Draw up / make available an arbetsmiljöplan,ADMIN,"BAS-P/BAS-U consultants, construction H&S services",LOW,LOW,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014384,Sanktionsavgift - besiktning av lyftanordningar och vissa andra tekniska anordningar,Avslutat,2026/014384-1,2026-03-10,ETNI AB,5569826232,ETNI AB,55234926,STOCKHOLMS LÄN,Stockholm,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_RELATED_UNSPECIFIED,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014546,Sanktionsavgift - avsaknad av utbildingsintyg - kemiska ämnen,Avslutat,2026/014546-1,2026-03-10,SBS GRUPPEN AB,5590793476,SBS GRUPPEN AB,57665879,STOCKHOLMS LÄN,Haninge,CHEMICAL_OTHER,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,Chemical-risk deficiency (unspecified),UNKNOWN,Occupational hygiene consultant,UNKNOWN,LOW,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014557,Sanktionsavgift - avsaknad av tjänstbarhetsintyg,Avslutat,2026/014557-1,2026-03-10,SBS GRUPPEN AB,5590793476,SBS GRUPPEN AB,57665879,STOCKHOLMS LÄN,Haninge,MEDICAL_FITNESS_CERTIFICATE,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Arrange medical examination and tjänstbarhetsintyg for exposed workers,MEDICAL,Occupational health provider (företagshälsovård),MEDIUM,LOW,TIMELY,METADATA_SUFFICIENT,,,,110,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/076650,Sanktionsavgift - avsaknad av besiktning lyftanordning - fordonslyft,Avslutat,2025/076650-1,2026-03-11,SCANDINAVIAN CAB SERVICE AB,5592347545,SCANDINAVIAN CAB SERVICE AB,65448318,STOCKHOLMS LÄN,Sundbyberg,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/007393,Sanktionsavgift-Avsaknad av fallskydd,Avslutat,2026/007393-1,2026-03-11,RAKET BYGG ENTREPRENAD I STRÄNGNÄS AB,5594633850,RAKET BYGG ENTREPRENAD I STRÄNGNÄS AB,71059380,,,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/011959,Sanktionsavgift - avsaknad av besiktning lyftanordning,Avslutat,2026/011959-1,2026-03-11,ASSEMBLIN EL AB,5560134628,ASSEMBLIN EL AB,22302392,VÄSTRA GÖTALANDS LÄN,Borås,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,Inspektion inom Ett tryggt arbetsliv nollvision Fall kopplat till arbetsutrustning/ställningar/hissar,2025-04-17,328,2,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/013958,Sanktionsavgift - trycksatt anordning som ej genomgått kontroll 10 kap. 8§ (AFS 2013:11),Pågående,2026/013958-1,2026-03-11,TÄLJESTAD LANTBRUK AB,5568240963,TÄLJESTAD LANTBRUK AB,50109164,ÖSTERGÖTLANDS LÄN,Linköping,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014320,Sanktionsavgift - avsaknad av kontroll - trycksatt anordning,Avslutat,2026/014320-1,2026-03-11,LABBE AB,5569290967,LABBE AB,53793212,VÄSTRA GÖTALANDS LÄN,Göteborg,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014596,Sanktionsavgift-avsaknad av fallskydd,Avslutat,2026/014596-1,2026-03-11,LINDBERGS ENTREPRENAD & KONSULT AB,5593078107,LINDBERGS ENTREPRENAD & KONSULT AB,67299974,STOCKHOLMS LÄN,Tyresö,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/006262,Sanktionsavgift - genomgått besiktning utan att rätta till brister vid besiktning - lyftanordning - grävmaskin,Pågående,2026/006262-1,2026-03-12,TOM KARLSSON ENTREPRENAD AKTIEBOLAG,5565807343,TOM KARLSSON ENTREPRENAD AKTIEBOLAG,38879334,SKÅNE LÄN,Burlöv,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTED_DEFICIENCIES_NOT_CORRECTED,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/006280,Sanktionsavgift - trycksatt anordning - ej genomgått föreskriven kontroll,Avslutat,2026/006280-1,2026-03-12,TOMMY SEHLIN BYGG & MASKIN AB,5569063265,TOMMY SEHLIN BYGG & MASKIN AB,26369496,SKÅNE LÄN,Kristianstad,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/007243,Sanktionsavgift - avsaknad av besiktning - lyftanordning,Pågående,2026/007243-1,2026-03-12,UND STHLM AB,5569896557,UND STHLM AB,55216857,STOCKHOLMS LÄN,Stockholm,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/008073,Sanktionsavgift - arbetsmiljöplan inte tillgänglig,Avslutat,2026/008073-1,2026-03-12,TOMMY SEHLIN BYGG & MASKIN AB,5569063265,TOMMY SEHLIN BYGG & MASKIN AB,26369496,SKÅNE LÄN,Kristianstad,WORK_ENVIRONMENT_PLAN,SPECIFIC_BUT_AMBIGUOUS,,Draw up / make available an arbetsmiljöplan,ADMIN,"BAS-P/BAS-U consultants, construction H&S services",LOW,LOW,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/011793,Sanktionsavgift - trucktillstånd,Avslutat,2026/011793-1,2026-03-12,TRÄVARUFIRMA POUSETTE AKTIEBOLAG,5563765550,TRÄVARUFIRMA POUSETTE AKTIEBOLAG,13219662,STOCKHOLMS LÄN,Norrtälje,FORKLIFT_PERMIT,DETERMINISTIC,,"Issue written truck permits, which presupposes documented forklift training",TRAINING,Forklift training provider,LOW,LOW,TIMELY,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/013310,Sanktionsavgift - Brister på anordningen har inte rättats till 13 kap. 4 § 2 st. och 12 §,Avslutat,2026/013310-1,2026-03-12,CHRISTER L SAMUELSSON AB,5564306594,CHRISTER L SAMUELSSON AB,30003990,KRONOBERGS LÄN,Växjö,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTED_DEFICIENCIES_NOT_CORRECTED,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/013479,Sanktionsavgift - låtit en trycksatt anordning vara trycksatt utan att den genomgått föreskriven kontroll,Avslutat,2026/013479-1,2026-03-12,LCS CONTAINER SOLUTIONS AB,5562349570,LCS CONTAINER SOLUTIONS AB,22863435,VÄSTRA GÖTALANDS LÄN,Göteborg,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/013569,Sanktionsavgift - fallrisk,Avslutat,2026/013569-1,2026-03-12,ELEKTRIKERN I LINKÖPING AB,5567540926,ELEKTRIKERN I LINKÖPING AB,47013685,ÖSTERGÖTLANDS LÄN,Linköping,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014023,Sanktionsavgift - Rivning utan tillstånd 3 kap. 7 § AFS 2023:13,Avslutat,2026/014023-1,2026-03-12,,,Saknas,71848618,VÄSTRA GÖTALANDS LÄN,Orust,ASBESTOS_PERMIT,DETERMINISTIC,,Apply for asbestos removal permit / stop work,PERMIT,Asbestos consultant or licensed removal contractor,LOW,MEDIUM,TIMELY,METADATA_SUFFICIENT,,,,,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014207,Sanktionsavgift - skiftligt tillstånd truck - uppfyller inte föreskrivna krav,Avslutat,2026/014207-1,2026-03-12,AKVARIE-LEASING AKTIEBOLAG,5562596279,AKVARIE-LEASING AKTIEBOLAG,24797557,STOCKHOLMS LÄN,Stockholm,FORKLIFT_PERMIT,DETERMINISTIC,,"Issue written truck permits, which presupposes documented forklift training",TRAINING,Forklift training provider,LOW,LOW,TIMELY,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/015687,Sanktionsavgift-avsaknad av fallskydd,Pågående,2026/015687-1,2026-03-12,CASAB RENTAL AB,5592709397,CASAB RENTAL AB,66476243,SÖDERMANLANDS LÄN,Nyköping,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/010801,"Sanktionsavgift - Lyftanordning, ej genomgått besiktning med godkänt resultat 13 kap. 4 § AFS 2023:11",Pågående,2026/010801-1,2026-03-13,FRAICHE BRA MAT I SVERIGE AB,5569493587,FRAICHE BRA MAT I SVERIGE AB,70898820,STOCKHOLMS LÄN,Danderyd,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/011187,Sanktionsavgift - trycksatt anordning - ej genomgått föreskriven kontroll,Pågående,2026/011187-1,2026-03-13,ALASHI SKRÄDDERI SKOMAKERI OCH KEMTVÄTT AB,5592561905,ALASHI SKRÄDDERI SKOMAKERI OCH KEMTVÄTT AB,66058322,VÄSTERBOTTENS LÄN,Umeå,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014291,Sanktionsavgift-avsaknad av fallskydd,Pågående,2026/014291-1,2026-03-13,GO PRECAST AB,5591782734,GO PRECAST AB,62114210,KALMAR LÄN,Västervik,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/016775,Sanktionsavgift – Utstationering - Arbetsgivarens anmälan,Avslutat,2026/016775-3,2026-03-13,,,Saknas,,,,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/072930,Sanktionsavgift -fallrisk,Avslutat,2025/072930-1,2026-03-16,TAKTÄCKARNA I JÖNKÖPING AB,5568517881,TAKTÄCKARNA I JÖNKÖPING AB,51132686,JÖNKÖPINGS LÄN,Jönköping,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/005039,Sanktionsavgift - avsaknad av besiktning - teknisk anordning - bakgavellyft,Pågående,2026/005039-1,2026-03-16,LJUNGA CHARK I ÖRKELLJUNGA AB,5568524846,LJUNGA CHARK I ÖRKELLJUNGA AB,51318897,SKÅNE LÄN,Örkelljunga,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/008963,Sanktionsavgift-avsaknad av fallskydd,Pågående,2026/008963-1,2026-03-16,KUNGSTAK AB,5568634116,KUNGSTAK AB,51496743,HALLANDS LÄN,Kungsbacka,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/009053,Sanktionsavgift - arbetsmiljöplan ej tillgänglig,Pågående,2026/009053-1,2026-03-16,KUNGSTAK AB,5568634116,KUNGSTAK AB,51496743,HALLANDS LÄN,Kungsbacka,WORK_ENVIRONMENT_PLAN,SPECIFIC_BUT_AMBIGUOUS,,Draw up / make available an arbetsmiljöplan,ADMIN,"BAS-P/BAS-U consultants, construction H&S services",LOW,LOW,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/011375,Sanktionsavgift - trycksatt anordning - ej genomgått föreskriven kontroll,Avslutat,2026/011375-1,2026-03-16,SKROT ANDERS AB,5565555553,SKROT ANDERS AB,37460466,ÖSTERGÖTLANDS LÄN,Motala,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/012452,Sanktionsavgift - för att inte ha lämnat förhandsanmälan 2 kap. § 25 (AFS 2023:3),Avslutat,2026/012452-1,2026-03-16,SP BYGG OCH ENTREPRENAD AB,5593542847,SP BYGG OCH ENTREPRENAD AB,68417773,STOCKHOLMS LÄN,Stockholm,CONSTRUCTION_PRE_NOTIFICATION,GENERIC,,Pre-notify construction site (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/013816,Sanktionsavgift - fallrisk,Pågående,2026/013816-1,2026-03-16,MONTERA I STORFORS ENTREPRENAD AB,5591358311,MONTERA I STORFORS ENTREPRENAD AB,59246736,VÄRMLANDS LÄN,Storfors,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014193,Sanktionsavgift - trycksatt anordning - ej genomgått föreskriven kontroll,Pågående,2026/014193-1,2026-03-16,KUNGSGÅRDENS FORDONS SERVICE AB,5594687500,KUNGSGÅRDENS FORDONS SERVICE AB,71169205,GÄVLEBORGS LÄN,Sandviken,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/016291,Sanktionsavgift - förhandsanmälan,Avslutat,2026/016291-1,2026-03-16,FASH FASTIGHETER AB,5591014716,FASH FASTIGHETER AB,58153370,STOCKHOLMS LÄN,Haninge,CONSTRUCTION_PRE_NOTIFICATION,GENERIC,,Pre-notify construction site (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/016665,"Sanktionsavgift - Lyftanordning, ej genomgått besiktning med godkänt resultat 13 kap. 4 § AFS 2023:11",Pågående,2026/016665-1,2026-03-16,DÄCKHUSET I UPPSALA AKTIEBOLAG,5565036828,DÄCKHUSET I UPPSALA AKTIEBOLAG,33052150,UPPSALA LÄN,Uppsala,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/013889,Sanktionsavgift - arbetsmiljöplan ej upprättad,Pågående,2026/013889-1,2026-03-17,SÖDRA STIGEN FÖRVALTNING AB,5593022451,SÖDRA STIGEN FÖRVALTNING AB,67173997,ÖREBRO LÄN,Örebro,WORK_ENVIRONMENT_PLAN,SPECIFIC_BUT_AMBIGUOUS,,Draw up / make available an arbetsmiljöplan,ADMIN,"BAS-P/BAS-U consultants, construction H&S services",LOW,LOW,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/014954,Sanktionsavgift - trucktillstånd,Avslutat,2026/014954-1,2026-03-17,SALLBRINGS DÄCKSERVICE AB,5594725524,SALLBRINGS DÄCKSERVICE AB,71267736,JÖNKÖPINGS LÄN,Eksjö,FORKLIFT_PERMIT,DETERMINISTIC,,"Issue written truck permits, which presupposes documented forklift training",TRAINING,Forklift training provider,LOW,LOW,TIMELY,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/015824,Sanktionsavgift - avsaknad av besiktningsintyg,Avslutat,2026/015824-1,2026-03-17,CB ÅKERI I GÖTEBORG AB,5590079413,CB ÅKERI I GÖTEBORG AB,55856744,VÄSTRA GÖTALANDS LÄN,Mölndal,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/002440,Sanktionsavgift- trycksatt anordning,Pågående,2026/002440-1,2026-03-18,HANINGE BYGGARNA AB,5593183931,HANINGE BYGGARNA AB,67575993,STOCKHOLMS LÄN,Haninge,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,Återkommande besiktning - Tryckluftbehållare,2025-10-30,139,135,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/009178,Sanktionsavgift - trycksatt anordning - ej genomgått föreskriven kontroll,Avslutat,2026/009178-1,2026-03-18,HEMMESTA MOTOR O BILTEKNIK AB,5591933907,HEMMESTA MOTOR O BILTEKNIK AB,62163795,STOCKHOLMS LÄN,Värmdö,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2026/009706,"Sanktionsavgift - Lyftanordning, ej genomgått besiktning med godkänt resultat 13 kap. 4 § AFS 2023:11",Avslutat,2026/009706-1,2026-03-18,KOMMER & INSTALLERAR SVERIGE AB,5569732166,KOMMER & INSTALLERAR SVERIGE AB,55002026,SKÅNE LÄN,Malmö,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
